uuid	page	field	gt	pred	levenshtein_distance	doc_conf	entity_conf
0a11e32f-3175-4240-b1f9-9c2ca5638e6d	1	Quote_ClassCode.Payroll	100,000	100,000	0	0.519213	0.774407
0a11e32f-3175-4240-b1f9-9c2ca5638e6d	1	Quote_ClassCode.Payroll	220,000	220,000	0	0.519213	0.896328
0a11e32f-3175-4240-b1f9-9c2ca5638e6d	0	Quote_ContactInformation.Name	Maricor Piloneo	Maricor Piloneo	0	0.519213	0.886758
0a11e32f-3175-4240-b1f9-9c2ca5638e6d	0	Quote_EffectiveDate	1/31/19	1/31/19	0	0.519213	0.998151
0a11e32f-3175-4240-b1f9-9c2ca5638e6d	0	Quote_Fein	832618015	832618015	0	0.519213	0.923109
0a11e32f-3175-4240-b1f9-9c2ca5638e6d	0	Quote_LiabilityLimits.EachAccident	$1,000,000	$1,000,000	0	0.519213	0.986961
0a11e32f-3175-4240-b1f9-9c2ca5638e6d	0	Quote_LiabilityLimits.EachEmployee	$1,000,000	$1,000,000	0	0.519213	0.997904
0a11e32f-3175-4240-b1f9-9c2ca5638e6d	0	Quote_LiabilityLimits.PolicyLimit	$1,000,000	$1,000,000	0	0.519213	0.981421
0a11e32f-3175-4240-b1f9-9c2ca5638e6d	0	Quote_MailingAddress.City	Ellington,	Ellington,	0	0.519213	0.984941
0a11e32f-3175-4240-b1f9-9c2ca5638e6d	0	Quote_MailingAddress.Line1	2 Linden Drive			0.519213	
0a11e32f-3175-4240-b1f9-9c2ca5638e6d	0	Quote_MailingAddress.State	CT	CT	0	0.519213	1.0
0a11e32f-3175-4240-b1f9-9c2ca5638e6d	0	Quote_MailingAddress.Zip	06029	06029	0	0.519213	0.998108
0a11e32f-3175-4240-b1f9-9c2ca5638e6d	0	Quote_YearsInBusiness		2		0.519213	0.916847
0a5ad073-5dfd-4893-be7e-b3a547b136ff	0	Location.City	Pleasantville	Pleasantville	0	0.497749	0.973953
0a5ad073-5dfd-4893-be7e-b3a547b136ff	0	Location.Id	1	1	0	0.497749	1.0
0a5ad073-5dfd-4893-be7e-b3a547b136ff	0	Location.Line1	8029 Black Horse Pike	8029 Black Horse Pike	0	0.497749	0.792907
0a5ad073-5dfd-4893-be7e-b3a547b136ff	0	Location.State	NJ	NJ	0	0.497749	1.0
0a5ad073-5dfd-4893-be7e-b3a547b136ff	0	Location.Zip	08232	08232	0	0.497749	1.0
0a5ad073-5dfd-4893-be7e-b3a547b136ff	0	Quote_BusinessName	Infant King Management LLC	Infant King Management LLC	0	0.497749	0.958744
0a5ad073-5dfd-4893-be7e-b3a547b136ff	0	Quote_ClassCode.ClassCode	9052	9052	0	0.497749	0.975427
0a5ad073-5dfd-4893-be7e-b3a547b136ff	0	Quote_ClassCode.ClassCode	8810	8810	0	0.497749	0.998212
0a5ad073-5dfd-4893-be7e-b3a547b136ff	0	Quote_ClassCode.FullTimeEmployees	10	10	0	0.497749	0.969424
0a5ad073-5dfd-4893-be7e-b3a547b136ff	0	Quote_ClassCode.FullTimeEmployees	8	8	0	0.497749	0.983175
0a5ad073-5dfd-4893-be7e-b3a547b136ff	0	Quote_ClassCode.LocationId	1	1	0	0.497749	0.910738
0a5ad073-5dfd-4893-be7e-b3a547b136ff	0	Quote_ClassCode.LocationId	1	1	0	0.497749	0.953524
0a5ad073-5dfd-4893-be7e-b3a547b136ff	0	Quote_ClassCode.Payroll	$180,000.00	$180,000.00	0	0.497749	1.0
0a5ad073-5dfd-4893-be7e-b3a547b136ff	0	Quote_ClassCode.Payroll	$70,000.00	$70,000.00	0	0.497749	0.996408
0a5ad073-5dfd-4893-be7e-b3a547b136ff	0	Quote_EffectiveDate	01-26-2019	01-26-2019	0	0.497749	1.0
0a5ad073-5dfd-4893-be7e-b3a547b136ff	0	Quote_Fein	45-5203248	45-5203248	0	0.497749	0.967811
0a5ad073-5dfd-4893-be7e-b3a547b136ff	0	Quote_LegalEntities.Other	X	X	0	0.497749	0.983129
0a5ad073-5dfd-4893-be7e-b3a547b136ff	0	Quote_LiabilityLimits.EachAccident	$500.000.00	$500.000.00	0	0.497749	1.0
0a5ad073-5dfd-4893-be7e-b3a547b136ff	0	Quote_LiabilityLimits.EachEmployee	$500,000.00	$500,000.00	0	0.497749	1.0
0a5ad073-5dfd-4893-be7e-b3a547b136ff	0	Quote_LiabilityLimits.PolicyLimit	$500,000.00	$500,000.00	0	0.497749	0.998204
0a5ad073-5dfd-4893-be7e-b3a547b136ff	0	Quote_MailingAddress.City	Pleasantville,	Horse Pike, Pleasantville,	12	0.497749	0.497749
0a5ad073-5dfd-4893-be7e-b3a547b136ff	0	Quote_MailingAddress.Line1	8 o2g Black Horse Pike,			0.497749	
0a5ad073-5dfd-4893-be7e-b3a547b136ff	0	Quote_MailingAddress.State	NJ,	NJ,	0	0.497749	1.0
0a5ad073-5dfd-4893-be7e-b3a547b136ff	0	Quote_MailingAddress.Zip	08232	08232	0	0.497749	1.0
0a5ad073-5dfd-4893-be7e-b3a547b136ff	1	Quote_NatureOfBusiness	Hotel/ Clerical, sales, and drivers.	Hotel/ Clerical, sales, and drivers.	0	0.497749	0.995
0a5ad073-5dfd-4893-be7e-b3a547b136ff	0	Quote_YearsInBusiness		8		0.497749	0.513223
0bb306c3-928c-4249-8faa-eaf6694042a1	0	Location.City	Ocala,	Ocala,	0	0.544356	1.0
0bb306c3-928c-4249-8faa-eaf6694042a1	0	Location.City	Ocala,	Ocala,	0	0.544356	1.0
0bb306c3-928c-4249-8faa-eaf6694042a1	0	Location.Id	001	001	0	0.544356	1.0
0bb306c3-928c-4249-8faa-eaf6694042a1	0	Location.Id	002	002	0	0.544356	1.0
0bb306c3-928c-4249-8faa-eaf6694042a1	0	Location.Line1	2499 SW 60 Ave	2499 SW 60 Ave	0	0.544356	0.996108
0bb306c3-928c-4249-8faa-eaf6694042a1	0	Location.Line1	350 Cypress Road	350 Cypress Road	0	0.544356	1.0
0bb306c3-928c-4249-8faa-eaf6694042a1	0	Location.State	FL	FL	0	0.544356	1.0
0bb306c3-928c-4249-8faa-eaf6694042a1	0	Location.State	FL	FL	0	0.544356	1.0
0bb306c3-928c-4249-8faa-eaf6694042a1	0	Location.Zip	34474	34474	0	0.544356	1.0
0bb306c3-928c-4249-8faa-eaf6694042a1	0	Location.Zip	34472	34472	0	0.544356	1.0
0bb306c3-928c-4249-8faa-eaf6694042a1	0	Quote_BusinessName	Antennas For Communications Ocala, FL, Inc.	Ocala Division Antennas For Communications 59-3065756 Ocala, FL, Inc.	26	0.544356	0.585116
0bb306c3-928c-4249-8faa-eaf6694042a1	0	Quote_ClassCode.ClassCode	4484	4484	0	0.544356	1.0
0bb306c3-928c-4249-8faa-eaf6694042a1	0	Quote_ClassCode.ClassCode	8810	8810	0	0.544356	1.0
0bb306c3-928c-4249-8faa-eaf6694042a1	0	Quote_ClassCode.ClassCode	3724	3724	0	0.544356	1.0
0bb306c3-928c-4249-8faa-eaf6694042a1	0	Quote_ClassCode.ClassCode	8871	8871	0	0.544356	0.934691
0bb306c3-928c-4249-8faa-eaf6694042a1	0	Quote_ClassCode.FullTimeEmployees	15	15	0	0.544356	1.0
0bb306c3-928c-4249-8faa-eaf6694042a1	0	Quote_ClassCode.FullTimeEmployees	12	12	0	0.544356	0.996313
0bb306c3-928c-4249-8faa-eaf6694042a1	0	Quote_ClassCode.LocationId	001	001	0	0.544356	1.0
0bb306c3-928c-4249-8faa-eaf6694042a1	0	Quote_ClassCode.LocationId	002	002	0	0.544356	1.0
0bb306c3-928c-4249-8faa-eaf6694042a1	0	Quote_ClassCode.LocationId	001	001	0	0.544356	1.0
0bb306c3-928c-4249-8faa-eaf6694042a1	0	Quote_ClassCode.LocationId	002	002	0	0.544356	0.87349
0bb306c3-928c-4249-8faa-eaf6694042a1	0	Quote_ClassCode.Payroll	585000	585000	0	0.544356	0.984439
0bb306c3-928c-4249-8faa-eaf6694042a1	0	Quote_ClassCode.Payroll	9528140.18000	9528140.18000	0	0.544356	0.996134
0bb306c3-928c-4249-8faa-eaf6694042a1	0	Quote_ClassCode.Payroll	7573			0.544356	
0bb306c3-928c-4249-8faa-eaf6694042a1	0	Quote_ClassCode.Payroll	1000			0.544356	
0bb306c3-928c-4249-8faa-eaf6694042a1	0	Quote_EffectiveDate	02/01/19	02/01/19	0	0.544356	1.0
0bb306c3-928c-4249-8faa-eaf6694042a1	0	Quote_ExpiredPremium	16,124.00			0.544356	
0bb306c3-928c-4249-8faa-eaf6694042a1	0	Quote_Fein	59-3065756	59-3065756	0	0.544356	1.0
0bb306c3-928c-4249-8faa-eaf6694042a1	0	Quote_LegalEntities.Corporation	<empty/>			0.544356	
0bb306c3-928c-4249-8faa-eaf6694042a1	0	Quote_LiabilityLimits.EachAccident	1,000,000	1,000,000	0	0.544356	1.0
0bb306c3-928c-4249-8faa-eaf6694042a1	0	Quote_LiabilityLimits.EachEmployee	1,000,000	1,000,000	0	0.544356	1.0
0bb306c3-928c-4249-8faa-eaf6694042a1	0	Quote_LiabilityLimits.PolicyLimit	1,000,000	1,000,000	0	0.544356	1.0
0bb306c3-928c-4249-8faa-eaf6694042a1	0	Quote_MailingAddress.City	Ocala,	Ocala,	0	0.544356	1.0
0bb306c3-928c-4249-8faa-eaf6694042a1	0	Quote_MailingAddress.Line1	2499 SW 60 Ave	2499 SW 60 Ave	0	0.544356	0.95883
0bb306c3-928c-4249-8faa-eaf6694042a1	0	Quote_MailingAddress.State	FL	FL	0	0.544356	1.0
0bb306c3-928c-4249-8faa-eaf6694042a1	0	Quote_MailingAddress.Zip	34474	34474	0	0.544356	1.0
0bb306c3-928c-4249-8faa-eaf6694042a1	1	Quote_NatureOfBusiness	icon nuiiic liions Company is engaged in the design and fabrication of composite fiberaalss dielectric radomes, satellite and terrestrial antennas.The clerical employees are physically separated from the fabrication shop no labor interchange. Supervisor may go to job site to verbally assist customer in assembly.Employee is on the ground at all time	icon nuiiic liions Company is engaged in the design and fabrication of composite fiberaalss dielectric radomes, satellite and terrestrial antennas.The clerical employees are physically separated from the fabrication shop no labor interchange. Supervisor may go to job site to verbally assist customer in assembly.Employee is on the ground at all time	0	0.544356	0.968826
0bb306c3-928c-4249-8faa-eaf6694042a1	0	Quote_YearsInBusiness	38	38	0	0.544356	1.0
0e827bdd-00c8-44f4-96b4-43c7a087e300	0	Location.City	Coral Gables,	Coral Gables,	0	0.487872	0.763579
0e827bdd-00c8-44f4-96b4-43c7a087e300	0	Location.Id	i	i	0	0.487872	1.0
0e827bdd-00c8-44f4-96b4-43c7a087e300	0	Location.Id	2	2	0	0.487872	1.0
0e827bdd-00c8-44f4-96b4-43c7a087e300	0	Location.Line1	2020 Ponce De Leon BLVD	2020 Ponce De Leon BLVD	0	0.487872	1.0
0e827bdd-00c8-44f4-96b4-43c7a087e300	0	Location.State	FL	FL	0	0.487872	1.0
0e827bdd-00c8-44f4-96b4-43c7a087e300	0	Location.Zip	33134	33134	0	0.487872	1.0
0e827bdd-00c8-44f4-96b4-43c7a087e300	0	Quote_BusinessName	applj cant Doctors Healthcare Plans, Inc. / DHCP	applj cant Doctors Healthcare Plans, Inc. / DHCP	0	0.487872	0.802475
0e827bdd-00c8-44f4-96b4-43c7a087e300	0	Quote_ClassCode.ClassCode	8810	8810	0	0.487872	1.0
0e827bdd-00c8-44f4-96b4-43c7a087e300	0	Quote_ClassCode.ClassCode	8742	8742	0	0.487872	1.0
0e827bdd-00c8-44f4-96b4-43c7a087e300	0	Quote_ClassCode.ClassCode	7380	7380	0	0.487872	0.998221
0e827bdd-00c8-44f4-96b4-43c7a087e300	0	Quote_ClassCode.FullTimeEmployees	56	56	0	0.487872	0.992625
0e827bdd-00c8-44f4-96b4-43c7a087e300	0	Quote_ClassCode.FullTimeEmployees	24	24	0	0.487872	0.990772
0e827bdd-00c8-44f4-96b4-43c7a087e300	0	Quote_ClassCode.FullTimeEmployees	8	8	0	0.487872	0.994565
0e827bdd-00c8-44f4-96b4-43c7a087e300	0	Quote_ClassCode.Payroll	$4,500,448	$4,500,448	0	0.487872	0.983226
0e827bdd-00c8-44f4-96b4-43c7a087e300	0	Quote_ClassCode.Payroll	$931,970	$931,970	0	0.487872	0.99819
0e827bdd-00c8-44f4-96b4-43c7a087e300	0	Quote_ClassCode.Payroll	$266,240	$266,240	0	0.487872	1.0
0e827bdd-00c8-44f4-96b4-43c7a087e300	0	Quote_Fein	81-5365256	81-5365256	0	0.487872	0.979731
0e827bdd-00c8-44f4-96b4-43c7a087e300	0	Quote_LegalEntities.Corporation	^			0.487872	
0e827bdd-00c8-44f4-96b4-43c7a087e300	0	Quote_LiabilityLimits.EachAccident	1,000,000	1,000,000	0	0.487872	1.0
0e827bdd-00c8-44f4-96b4-43c7a087e300	0	Quote_LiabilityLimits.EachEmployee	1,000,000	1,000,000	0	0.487872	1.0
0e827bdd-00c8-44f4-96b4-43c7a087e300	0	Quote_LiabilityLimits.PolicyLimit	1,000,000	1,000,000	0	0.487872	1.0
0e827bdd-00c8-44f4-96b4-43c7a087e300	0	Quote_MailingAddress.City	Coral Gables,			0.487872	
0e827bdd-00c8-44f4-96b4-43c7a087e300	0	Quote_MailingAddress.Line1	2020 Ponce De Leon BLVD #901			0.487872	
0e827bdd-00c8-44f4-96b4-43c7a087e300	0	Quote_MailingAddress.State	FL			0.487872	
0e827bdd-00c8-44f4-96b4-43c7a087e300	0	Quote_MailingAddress.Zip	33134			0.487872	
0e827bdd-00c8-44f4-96b4-43c7a087e300	1	Quote_NatureOfBusiness	This group is the administrative operation for a Medicare based HMO program in SFL. Consists of 8810, 8742 & 7380 exposure Doctors Healthcare Plans, Inc. & DHCP Transportation Services, LLC are commonly owned	This group is the administrative operation for a Medicare based HMO program in SFL. Consists of 8810, 8742 & 7380 exposure Doctors Healthcare Plans, Inc. & DHCP Transportation Services, LLC are commonly owned	0	0.487872	0.934484
0e827bdd-00c8-44f4-96b4-43c7a087e300	0	Quote_YearsInBusiness	1	1	0	0.487872	0.630356
146e9e2f-bda8-4bbb-9f78-8f8ef1d9c69b	0	Location.City	Lake Bluff,	Lake Bluff,	0	0.626579	0.959552
146e9e2f-bda8-4bbb-9f78-8f8ef1d9c69b	0	Location.Id	i	i	0	0.626579	1.0
146e9e2f-bda8-4bbb-9f78-8f8ef1d9c69b	0	Location.Line1	13000 Rockland Road	13000 Rockland Road	0	0.626579	0.987005
146e9e2f-bda8-4bbb-9f78-8f8ef1d9c69b	0	Location.State	IL	IL	0	0.626579	1.0
146e9e2f-bda8-4bbb-9f78-8f8ef1d9c69b	0	Location.Zip	60044	60044	0	0.626579	0.99452
146e9e2f-bda8-4bbb-9f78-8f8ef1d9c69b	0	Quote_BusinessName	name:Visiting Christian Science Nursing Care of Greater Chicago	name:Visiting Christian Science Nursing Care of Greater Chicago	0	0.626579	0.626579
146e9e2f-bda8-4bbb-9f78-8f8ef1d9c69b	1	Quote_ClassCode.ClassCode	8835	8835	0	0.626579	0.964067
146e9e2f-bda8-4bbb-9f78-8f8ef1d9c69b	1	Quote_ClassCode.ClassCode	8810	8810	0	0.626579	0.931862
146e9e2f-bda8-4bbb-9f78-8f8ef1d9c69b	1	Quote_ClassCode.FullTimeEmployees	3	3	0	0.626579	0.858254
146e9e2f-bda8-4bbb-9f78-8f8ef1d9c69b	1	Quote_ClassCode.LocationId	1	1	0	0.626579	0.923705
146e9e2f-bda8-4bbb-9f78-8f8ef1d9c69b	1	Quote_ClassCode.LocationId	1	1	0	0.626579	0.815059
146e9e2f-bda8-4bbb-9f78-8f8ef1d9c69b	1	Quote_ClassCode.PartTimeEmployees	i	i	0	0.626579	0.880951
146e9e2f-bda8-4bbb-9f78-8f8ef1d9c69b	1	Quote_ClassCode.Payroll	$192,000.00	$192,000.00	0	0.626579	0.978689
146e9e2f-bda8-4bbb-9f78-8f8ef1d9c69b	0	Quote_CompanyWebsite	http://www.visitingcsnursingchica	http://www.visitingcsnursingchica	0	0.626579	0.667874
146e9e2f-bda8-4bbb-9f78-8f8ef1d9c69b	0	Quote_EffectiveDate	02/24/2019	02/24/2019	0	0.626579	1.0
146e9e2f-bda8-4bbb-9f78-8f8ef1d9c69b	0	Quote_Fein	47-3091330	47-3091330	0	0.626579	0.994257
146e9e2f-bda8-4bbb-9f78-8f8ef1d9c69b	0	Quote_LegalEntities.LLC	X	X	0	0.626579	1.0
146e9e2f-bda8-4bbb-9f78-8f8ef1d9c69b	0	Quote_LiabilityLimits.EachAccident	500,000	500,000	0	0.626579	0.988334
146e9e2f-bda8-4bbb-9f78-8f8ef1d9c69b	0	Quote_LiabilityLimits.EachEmployee	500,000	500,000	0	0.626579	0.990575
146e9e2f-bda8-4bbb-9f78-8f8ef1d9c69b	0	Quote_LiabilityLimits.PolicyLimit	500,000	500,000	0	0.626579	0.988404
146e9e2f-bda8-4bbb-9f78-8f8ef1d9c69b	0	Quote_MailingAddress.City	Lake Bluff.	Lake Bluff.	0	0.626579	0.854865
146e9e2f-bda8-4bbb-9f78-8f8ef1d9c69b	0	Quote_MailingAddress.Line1	HU BOX	HU BOX	0	0.626579	0.717174
146e9e2f-bda8-4bbb-9f78-8f8ef1d9c69b	0	Quote_MailingAddress.State	IL	IL	0	0.626579	1.0
146e9e2f-bda8-4bbb-9f78-8f8ef1d9c69b	0	Quote_MailingAddress.Zip	60044	60044	0	0.626579	0.986677
146e9e2f-bda8-4bbb-9f78-8f8ef1d9c69b	2	Quote_NatureOfBusiness	Christian Science Nursing Service	Christian Science Nursing Service	0	0.626579	0.944721
146e9e2f-bda8-4bbb-9f78-8f8ef1d9c69b	0	Quote_YearsInBusiness	4	4	0	0.626579	0.959266
15c19c33-79b3-4b04-84f0-0bd290e8727b	0	Location.City	Nutely,	Nutely,	0	0.558488	0.977902
15c19c33-79b3-4b04-84f0-0bd290e8727b	0	Location.Id	1	1	0	0.558488	0.992525
15c19c33-79b3-4b04-84f0-0bd290e8727b	0	Location.Line1	181 Satterhwaite Ave	181 Satterhwaite Ave	0	0.558488	0.996446
15c19c33-79b3-4b04-84f0-0bd290e8727b	0	Location.State	NJ	NJ	0	0.558488	1.0
15c19c33-79b3-4b04-84f0-0bd290e8727b	0	Location.Zip	08759	08759	0	0.558488	0.992243
15c19c33-79b3-4b04-84f0-0bd290e8727b	0	Quote_BusinessName	applicantNAME:Nursing Service for Christian Scientists, Inc.	Service for Christian Scientists, Inc.	22	0.558488	0.738312
15c19c33-79b3-4b04-84f0-0bd290e8727b	1	Quote_ClassCode.ClassCode	8810	8810	0	0.558488	0.987868
15c19c33-79b3-4b04-84f0-0bd290e8727b	1	Quote_ClassCode.ClassCode	8835	8835	0	0.558488	0.985481
15c19c33-79b3-4b04-84f0-0bd290e8727b	1	Quote_ClassCode.LocationId	i	i	0	0.558488	0.991724
15c19c33-79b3-4b04-84f0-0bd290e8727b	1	Quote_ClassCode.LocationId	i	i	0	0.558488	0.978176
15c19c33-79b3-4b04-84f0-0bd290e8727b	1	Quote_ClassCode.Payroll	$6,000.00	$6,000.00	0	0.558488	0.944317
15c19c33-79b3-4b04-84f0-0bd290e8727b	1	Quote_ClassCode.Payroll	$105,562.00	$105,562.00	0	0.558488	0.72095
15c19c33-79b3-4b04-84f0-0bd290e8727b	0	Quote_CompanyWebsite	https://csnursenj.org/	https://csnursenj.org/	0	0.558488	0.558488
15c19c33-79b3-4b04-84f0-0bd290e8727b	0	Quote_EffectiveDate	02/06/2019	02/06/2019	0	0.558488	1.0
15c19c33-79b3-4b04-84f0-0bd290e8727b	0	Quote_Fein	22-1533510	22-1533510	0	0.558488	0.988285
15c19c33-79b3-4b04-84f0-0bd290e8727b	0	Quote_LegalEntities.Corporation	X	X	0	0.558488	0.981301
15c19c33-79b3-4b04-84f0-0bd290e8727b	0	Quote_LiabilityLimits.EachAccident	500,000	500,000	0	0.558488	0.981936
15c19c33-79b3-4b04-84f0-0bd290e8727b	0	Quote_LiabilityLimits.EachEmployee	500,000	500,000	0	0.558488	0.983821
15c19c33-79b3-4b04-84f0-0bd290e8727b	0	Quote_LiabilityLimits.PolicyLimit	500.000	500.000	0	0.558488	0.988271
15c19c33-79b3-4b04-84f0-0bd290e8727b	0	Quote_MailingAddress.City	Nutley,	Nutley,	0	0.558488	0.983854
15c19c33-79b3-4b04-84f0-0bd290e8727b	0	Quote_MailingAddress.Line1	181 Satterthwaite Ave.	181 Satterthwaite Ave.	0	0.558488	0.992262
15c19c33-79b3-4b04-84f0-0bd290e8727b	0	Quote_MailingAddress.State	NJ	NJ	0	0.558488	1.0
15c19c33-79b3-4b04-84f0-0bd290e8727b	0	Quote_MailingAddress.Zip	07110	07110	0	0.558488	0.992332
15c19c33-79b3-4b04-84f0-0bd290e8727b	0	Quote_YearsInBusiness	76	76	0	0.558488	0.950829
1c1144ff-d1bc-4775-9272-c9463d8171c8	0	Location.City	Elizabeth,	Elizabeth,	0	0.562163	0.971585
1c1144ff-d1bc-4775-9272-c9463d8171c8	0	Location.Id	i	i	0	0.562163	1.0
1c1144ff-d1bc-4775-9272-c9463d8171c8	0	Location.Line1	400-416 Trinity Place	400-416 Trinity Place	0	0.562163	0.981195
1c1144ff-d1bc-4775-9272-c9463d8171c8	0	Location.State	NJ	NJ	0	0.562163	1.0
1c1144ff-d1bc-4775-9272-c9463d8171c8	0	Location.Zip	07201	07201	0	0.562163	0.998155
1c1144ff-d1bc-4775-9272-c9463d8171c8	0	Quote_BusinessName	NAME:George Vega			0.562163	
1c1144ff-d1bc-4775-9272-c9463d8171c8	1	Quote_ClassCode.ClassCode	8398	8398	0	0.562163	0.906403
1c1144ff-d1bc-4775-9272-c9463d8171c8	1	Quote_ClassCode.ClassCode	8810	8810	0	0.562163	0.931393
1c1144ff-d1bc-4775-9272-c9463d8171c8	1	Quote_ClassCode.FullTimeEmployees	22	22	0	0.562163	0.921235
1c1144ff-d1bc-4775-9272-c9463d8171c8	1	Quote_ClassCode.FullTimeEmployees	4	4	0	0.562163	0.950229
1c1144ff-d1bc-4775-9272-c9463d8171c8	1	Quote_ClassCode.LocationId	1	1	0	0.562163	0.882683
1c1144ff-d1bc-4775-9272-c9463d8171c8	1	Quote_ClassCode.LocationId	1	1	0	0.562163	0.82394
1c1144ff-d1bc-4775-9272-c9463d8171c8	1	Quote_ClassCode.PartTimeEmployees	0	0	0	0.562163	0.939545
1c1144ff-d1bc-4775-9272-c9463d8171c8	1	Quote_ClassCode.PartTimeEmployees	0	0	0	0.562163	0.95539
1c1144ff-d1bc-4775-9272-c9463d8171c8	1	Quote_ClassCode.Payroll	$502,080.00	$502,080.00	0	0.562163	0.972837
1c1144ff-d1bc-4775-9272-c9463d8171c8	1	Quote_ClassCode.Payroll	$106,324.00	$106,324.00	0	0.562163	0.977118
1c1144ff-d1bc-4775-9272-c9463d8171c8	0	Quote_ContactInformation.Email	autopaintiing@yahoo.com	autopaintiing@yahoo.com	0	0.562163	0.995965
1c1144ff-d1bc-4775-9272-c9463d8171c8	0	Quote_ContactInformation.Name	Luis Atienza	Luis Atienza	0	0.562163	1.0
1c1144ff-d1bc-4775-9272-c9463d8171c8	0	Quote_ContactInformation.Phone	(908) 354-2200	(908) 354-2200	0	0.562163	1.0
1c1144ff-d1bc-4775-9272-c9463d8171c8	0	Quote_EffectiveDate	02/09/2019	02/09/2019	0	0.562163	1.0
1c1144ff-d1bc-4775-9272-c9463d8171c8	0	Quote_Fein	22-3266118	22-3266118	0	0.562163	0.996036
1c1144ff-d1bc-4775-9272-c9463d8171c8	0	Quote_LegalEntities.Corporation	X	X	0	0.562163	0.980861
1c1144ff-d1bc-4775-9272-c9463d8171c8	0	Quote_LiabilityLimits.EachAccident	1,000,000	1,000,000	0	0.562163	0.990535
